edges,edge_labels,query_edge,query_label,story_id
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(0, 0)","['no_sisters', 'niece_of', 'aunt_or_uncle_of', 'nibling_of', 'aunt_of', 'paternal_aunt_or_uncle_of', 'is_female', 'no_daughters']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(1, 2)","['wife_of', 'spouse_of', 'child_in_law_of', 'parent_of', 'mother_of', 'granddaughter_of', 'grandmother_of', 'grandparent_of', 'grandchild_of', 'daughter_in_law_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(3, 2)","['daughter_in_law_of', 'sibling_in_law_of', 'maternal_aunt_or_uncle_of', 'aunt_of', 'child_in_law_of', 'sister_in_law_of', 'aunt_or_uncle_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(0, 2)","['sister_of', 'aunt_of', 'daughter_of', 'granddaughter_of', 'aunt_or_uncle_of', 'grandchild_of', 'child_of', 'sibling_of', 'paternal_aunt_or_uncle_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(1, 0)","['sibling_in_law_of', 'grandparent_of', 'sister_in_law_of', 'parent_of', 'nibling_of', 'mother_of', 'grandmother_of', 'niece_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(2, 0)","['parent_of', 'grandparent_of', 'sibling_of', 'nibling_of', 'brother_of', 'nephew_of', 'grandfather_of', 'father_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(2, 3)","['sibling_in_law_of', 'nibling_of', 'father_in_law_of', 'brother_in_law_of', 'nephew_of', 'parent_in_law_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(0, 3)","['nibling_of', 'niece_of', 'wife_of', 'spouse_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(0, 1)","['child_of', 'grandchild_of', 'aunt_or_uncle_of', 'sister_in_law_of', 'daughter_of', 'paternal_aunt_or_uncle_of', 'sibling_in_law_of', 'aunt_of', 'granddaughter_of']",0
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (3, 0), (0, 2), (2, 2), (1, 2), (3, 3), (2, 0), (2, 1), (0, 0), (1, 1), (3, 3), (3, 3), (3, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'spouse_of', 'sister_of', 'is_male', 'wife_of', 'is_female', 'parent_of', 'grandfather_of', 'no_sisters', 'is_female', 'no_daughters', 'no_brothers', 'maternal_grandparent_of']","(3, 0)","['spouse_of', 'aunt_of', 'maternal_aunt_or_uncle_of', 'wife_of', 'aunt_or_uncle_of']",0
